time	V(n003)	V(n004)
3.496069441328148e-003	-1.799129e-001	2.467068e-002
3.515600691328147e-003	4.324530e-001	-9.777306e-002
3.535131941328147e-003	1.038392e+000	-2.187462e-001
3.554663191328147e-003	1.628791e+000	-3.364292e-001
3.574194441328146e-003	2.194769e+000	-4.490520e-001
3.593725691328146e-003	2.727814e+000	-5.549206e-001
3.613256941328145e-003	3.219908e+000	-6.524427e-001
3.632788191328145e-003	3.663649e+000	-7.401515e-001
3.652319441328144e-003	4.052362e+000	-8.167276e-001
3.671850691328144e-003	4.380202e+000	-8.810195e-001
3.691381941328144e-003	4.642236e+000	-9.320599e-001
3.710913191328143e-003	4.834524e+000	-9.690814e-001
3.730444441328143e-003	4.954173e+000	-9.915270e-001
3.749975691328142e-003	4.999384e+000	-9.990591e-001
3.769506941328142e-003	4.969476e+000	-9.915643e-001
3.789038191328142e-003	4.864901e+000	-9.691556e-001
3.808569441328141e-003	4.687230e+000	-9.321698e-001
3.828100691328141e-003	4.439137e+000	-8.811634e-001
3.847631941328140e-003	4.124352e+000	-8.169034e-001
3.867163191328140e-003	3.747611e+000	-7.403564e-001
3.886694441328139e-003	3.314581e+000	-6.526738e-001
3.906225691328139e-003	2.831774e+000	-5.551744e-001
3.925756941328139e-003	2.306453e+000	-4.493245e-001
3.945288191328138e-003	1.746518e+000	-3.367165e-001
3.964819441328138e-003	1.160392e+000	-2.190440e-001
3.984350691328137e-003	5.568893e-001	-9.807677e-002
4.003881941328137e-003	-5.491191e-002	2.436559e-002
4.023413191328137e-003	-6.658101e-001	1.464415e-001
4.042944441328136e-003	-1.266617e+000	2.663147e-001
4.062475691328136e-003	-1.848295e+000	3.821824e-001
4.082006941328135e-003	-2.402097e+000	4.923016e-001
4.101538191328135e-003	-2.919691e+000	5.950162e-001
4.121069441328134e-003	-3.393294e+000	6.887812e-001
4.140600691328134e-003	-3.815780e+000	7.721863e-001
4.160131941328134e-003	-4.180797e+000	8.439770e-001
4.179663191328133e-003	-4.482852e+000	9.030734e-001
4.199194441328133e-003	-4.717402e+000	9.485868e-001
4.218725691328132e-003	-4.880922e+000	9.798326e-001
4.238256941328132e-003	-4.970949e+000	9.963408e-001
4.257788191328132e-003	-4.986131e+000	9.978631e-001
4.277319441328131e-003	-4.926239e+000	9.843767e-001
4.296850691328131e-003	-4.792174e+000	9.560842e-001
4.316381941328130e-003	-4.585953e+000	9.134114e-001
4.335913191328130e-003	-4.310678e+000	8.570000e-001
4.355444441328129e-003	-3.970489e+000	7.876985e-001
